id,kode_pohon,nama_latin,nama_lokal,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,MD0001,Durio sp.,Durian,Pohon Muda,icon/young_tree.svg,-,32,10,Hutan Desa Muara Dua,gambut,-,1.0397852,101.9893862,20.80711007,0.05,-,-,-,Indra Bakti Hamid,2021-09-20 10:08:00.000+07:00," Rp50,000 ",799.57,-,Chave (2005),media/1.1.jpg,media/2.1.jpg,media/3.1.jpg,media/4.1.jpg,adopsipohonriau/1
2,MD0033,Scorodocarpus borneensis,Kulim,Pohon Muda,icon/young_tree.svg,-,17,30,Hutan Desa Muara Dua,gambut,-,1.0403476,101.989187,14.64890044,0.05,-,-,-,Margono,2021-09-20 14:07:00.000+07:00," Rp50,000 ",851.47,-,Chave (2005),media/1.2.jpg,media/2.2.jpg,media/3.2.jpg,media/4.2.jpg,adopsipohonriau/2
3,MD0018,Durio zibethinus ,Durian Hutan,Pohon Muda,icon/young_tree.svg,-,18,30,Hutan Desa Muara Dua,gambut,-,1.0400841,101.9892047,-48.55141726,0.05,-,-,-,Indra Bakti Hamid,2021-09-20 12:02:00.000+07:00," Rp50,000 ",657.05,-,Chave (2005),media/1.3.jpg,media/2.3.jpg,media/3.3.jpg,media/4.3.jpg,adopsipohonriau/3
4,MD0020,Shorea sp.,Meranti Batu,Pohon Muda,icon/young_tree.svg,-,23,35,Hutan Desa Muara Dua,gambut,-,1.0402046,101.9892663,11.91415876,0.05,-,-,-,Roni,2021-09-20 12:15:00.000+07:00," Rp50,000 ",719.82,-,Chave (2005),media/1.4.jpg,media/2.4.jpg,media/3.4.jpg,media/4.4.jpg,adopsipohonriau/4
5,MD0021,Shorea teysmanniana ,Bunga Bunga,Pohon Muda,icon/young_tree.svg,Endangered,22,20,Hutan Desa Muara Dua,gambut,-,1.0399566,101.9891196,15.11707618,0.05,-,-,-,Roni,2021-09-20 13:28:00.000+07:00," Rp50,000 ",643.26,-,Chave (2005),media/1.5.jpg,media/2.5.jpg,media/3.5.jpg,media/4.5.jpg,adopsipohonriau/5
6,MD0022,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,21,25,Hutan Desa Muara Dua,gambut,-,1.0403131,101.9895551,29.98049216,0.05,-,-,-,Roni,2021-09-20 13:35:00.000+07:00," Rp50,000 ",571.83,-,Chave (2005),media/1.6.jpg,media/2.6.jpg,media/3.6.jpg,media/4.6.jpg,adopsipohonriau/6
7,MD0023,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,5.4,25,Hutan Desa Muara Dua,gambut,-,1.0402226,101.989211,12.54443111,0.05,-,-,-,Roni,2021-09-20 13:42:00.000+07:00," Rp50,000 ",58.38,-,Chave (2005),media/1.7.jpg,media/2.7.jpg,media/3.7.jpg,media/4.7.jpg,adopsipohonriau/7
8,MD0034,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,13,20,Hutan Desa Muara Dua,gambut,-,1.0403256,101.9891217,14.40514099,0.05,-,-,-,Indra Bakti Hamid,2021-09-20 14:13:00.000+07:00," Rp50,000 ",169.95,-,Chave (2005),media/1.8.jpg,media/2.8.jpg,media/3.8.jpg,media/4.8.jpg,adopsipohonriau/8
9,MD0035,Syzygium sp.,Kelat,Pohon Muda,icon/young_tree.svg,-,20,30,Hutan Desa Muara Dua,gambut,-,1.0402464,101.9890493,16.25246763,0.05,-,-,-,Indra Bakti Hamid,2021-09-20 14:18:00.000+07:00," Rp50,000 ",1059.38,-,Chave (2005),media/1.9.jpg,media/2.9.jpg,media/3.9.jpg,media/4.9.jpg,adopsipohonriau/9
10,MD0024,Nephelium lappaceum,Rambutan,Pohon Tua,icon/mature_tree.svg,Least Concern,41,20,Hutan Desa Muara Dua,gambut,-,1.0402732,101.9892815,12.55122497,0.05,-,-,-,Roni,2021-09-20 13:47:00.000+07:00," Rp200,000 ",2999.77,-,Chave (2005),media/1.10.jpg,media/2.10.jpg,media/3.10.jpg,media/4.10.jpg,adopsipohonriau/10
